x,y,z,t
-1.1946330170082946,-1.5769868049854048,15.899665771960757,62.81
-1.237387081820224,-1.710040861652203,15.500983185255908,62.82
-1.2892059176936235,-1.852510376244685,15.115290801089047,62.83
-1.3501167790058843,-2.005638966688313,14.742639830776666,62.84
-1.4203799175911305,-2.170815356251558,14.38322154979652,62.85
-1.5003514586911972,-2.349546137970895,14.037315993695653,62.86
-1.5904002465509912,-2.54334368835516,13.705210692116337,62.87
-1.6910991525376575,-2.753903125953126,13.387402388171203,62.88
-1.803183612580186,-2.983110488823555,13.084594224241485,62.89
-1.927392852444807,-3.232859013988697,12.797495589532513,62.9
-2.064558126281585,-3.5051699504696168,12.526989889033336,62.91
-2.215795608579917,-3.8023829420525295,12.274494797681738,62.92
-2.382271069410802,-4.126885177772778,12.041520536629886,62.93
-2.5651544362854692,-4.481100409849852,11.829613715412524,62.94
-2.7658438099579823,-4.867735712122835,11.641105540759952,62.95
-2.985961027898265,-5.289619789511009,11.478986677068281,62.96
-3.227134572356917,-5.749580989612428,11.346264580831289,62.97
-3.491027076582974,-6.250573247620595,11.246258532315853,62.98
-3.779556227311014,-6.795395784278952,11.184116426276374,62.99
-4.09473286430903,-7.386646106491264,11.165587545902316,63.0
-4.43857010172612,-8.026933827122917,11.196425504250259,63.01
-4.813127467666147,-8.718705913872057,11.283543708607475,63.02
-5.220317366227521,-9.462479979228046,11.43657314951632,63.03
-5.661990579413119,-10.258252146521594,11.665533518742308,63.04
-6.140023316782716,-11.10601839077075,11.98064712724776,63.05
-6.655798579653354,-12.002839679335775,12.394734870818082,63.06
-7.2096100596535475,-12.941220959430636,12.922076221543776,63.07
-7.801659627208095,-13.913344924638047,13.57693202204132,63.08
-8.431714027527761,-14.9089194146983,14.374722933023387,63.09
-9.096501578784926,-15.907454080503134,15.329637757067065,63.1
-9.791804824673033,-16.885953267133324,16.454600479807684,63.11
-10.512882483008312,-17.819275401452355,17.762288867746452,63.12
-11.250297253294335,-18.670403531722606,19.256126108338336,63.13
-11.99220862406609,-19.39846036377765,20.932677276436603,63.14
